window_number,model_name,trial_number,trial_value,trial_state,optimization_metric
3,random_forest,23,0.4498705819674931,COMPLETE,f1
3,random_forest,24,0.4441567798596051,COMPLETE,f1
3,extra_trees,0,0.2538842526630029,COMPLETE,f1
3,extra_trees,1,0.33555682837565043,COMPLETE,f1
3,extra_trees,2,0.2856807051127466,COMPLETE,f1
3,extra_trees,3,0.34195516855048474,COMPLETE,f1
3,extra_trees,4,0.38062391281203606,COMPLETE,f1
3,extra_trees,5,0.29987397452545683,COMPLETE,f1
3,extra_trees,6,0.2822838457994529,COMPLETE,f1
3,extra_trees,7,0.296551173267758,COMPLETE,f1
3,extra_trees,8,0.27281633222733276,COMPLETE,f1
3,extra_trees,9,0.3543341631209646,COMPLETE,f1
3,extra_trees,10,0.2804430051872441,COMPLETE,f1
3,extra_trees,11,0.3459525247494972,COMPLETE,f1
3,extra_trees,12,0.3976815747045765,COMPLETE,f1
3,extra_trees,13,0.37665030577892117,COMPLETE,f1
3,extra_trees,14,0.42306845817466804,COMPLETE,f1
3,extra_trees,15,0.41370656287511903,COMPLETE,f1
3,extra_trees,16,0.41004498552072993,COMPLETE,f1
3,extra_trees,17,0.2991470148974919,COMPLETE,f1
3,extra_trees,18,0.42272575806502516,COMPLETE,f1
3,extra_trees,19,0.4238178010473517,COMPLETE,f1
3,extra_trees,20,0.41381677508611586,COMPLETE,f1
3,extra_trees,21,0.42453106545081604,COMPLETE,f1
3,extra_trees,22,0.42989007481529556,COMPLETE,f1
3,extra_trees,23,0.4337055267696636,COMPLETE,f1
3,extra_trees,24,0.42347328410309437,COMPLETE,f1
4,xgboost,0,0.5070747915579547,COMPLETE,f1
4,xgboost,1,0.5249971521026041,COMPLETE,f1
4,xgboost,2,0.5236161151613375,COMPLETE,f1
4,xgboost,3,0.23104615549943583,COMPLETE,f1
4,xgboost,4,0.5098243685158551,COMPLETE,f1
4,xgboost,5,0.5179360602134985,COMPLETE,f1
4,xgboost,6,0.23104615549943583,COMPLETE,f1
4,xgboost,7,0.5089761224141904,COMPLETE,f1
4,xgboost,8,0.47068923100434823,COMPLETE,f1
4,xgboost,9,0.23104615549943583,COMPLETE,f1
4,xgboost,10,0.5224955263141525,COMPLETE,f1
4,xgboost,11,0.5228550438661124,COMPLETE,f1
4,xgboost,12,0.42915757738405785,COMPLETE,f1
4,xgboost,13,0.5271692614888499,COMPLETE,f1
4,xgboost,14,0.5379434213900233,COMPLETE,f1
4,xgboost,15,0.5300297133363042,COMPLETE,f1
4,xgboost,16,0.5298301306787289,COMPLETE,f1
4,xgboost,17,0.2713904455105756,COMPLETE,f1
4,xgboost,18,0.521223904448152,COMPLETE,f1
4,xgboost,19,0.5253021530566464,COMPLETE,f1
4,xgboost,20,0.3403118292945702,COMPLETE,f1
4,xgboost,21,0.5199578055140478,COMPLETE,f1
4,xgboost,22,0.5178727134405933,COMPLETE,f1
4,xgboost,23,0.5271851177558368,COMPLETE,f1
4,xgboost,24,0.47523205446657896,COMPLETE,f1
4,lightgbm,0,0.5153092556341511,COMPLETE,f1
4,lightgbm,1,0.23104615549943583,COMPLETE,f1
4,lightgbm,2,0.4962557408904864,COMPLETE,f1
4,lightgbm,3,0.266747326104391,COMPLETE,f1
4,lightgbm,4,0.5000899357945533,COMPLETE,f1
4,lightgbm,5,0.23104615549943583,COMPLETE,f1
4,lightgbm,6,0.516238618380542,COMPLETE,f1
4,lightgbm,7,0.23104615549943583,COMPLETE,f1
4,lightgbm,8,0.23104615549943583,COMPLETE,f1
4,lightgbm,9,0.5169407752643099,COMPLETE,f1
4,lightgbm,10,0.5321491465225353,COMPLETE,f1
4,lightgbm,11,0.5374415297908856,COMPLETE,f1
4,lightgbm,12,0.528641681950513,COMPLETE,f1
4,lightgbm,13,0.5334797858316098,COMPLETE,f1
4,lightgbm,14,0.5094335115875138,COMPLETE,f1
4,lightgbm,15,0.5333116846600027,COMPLETE,f1
4,lightgbm,16,0.5315681184299551,COMPLETE,f1
4,lightgbm,17,0.5202817035669559,COMPLETE,f1
4,lightgbm,18,0.5103256519804266,COMPLETE,f1
4,lightgbm,19,0.5039203145567517,COMPLETE,f1
4,lightgbm,20,0.5366103428721413,COMPLETE,f1
4,lightgbm,21,0.5350107608706592,COMPLETE,f1
4,random_forest,0,0.23104615549943583,COMPLETE,f1
4,random_forest,1,0.43741016126371407,COMPLETE,f1
4,random_forest,2,0.31287052532485116,COMPLETE,f1
4,random_forest,3,0.4251976007050626,COMPLETE,f1
4,random_forest,4,0.47970607749833577,COMPLETE,f1
4,random_forest,5,0.3495046243801259,COMPLETE,f1
4,random_forest,6,0.3461428009940392,COMPLETE,f1
4,random_forest,7,0.3873636058226719,COMPLETE,f1
4,random_forest,8,0.23104615549943583,COMPLETE,f1
4,random_forest,9,0.4270517189896517,COMPLETE,f1
4,random_forest,10,0.36545260029374277,COMPLETE,f1
4,random_forest,11,0.3692510429579099,COMPLETE,f1
4,random_forest,12,0.4792419658650098,COMPLETE,f1
4,random_forest,13,0.4852169917496388,COMPLETE,f1
4,random_forest,14,0.4910423897974899,COMPLETE,f1
4,random_forest,15,0.4935608320404184,COMPLETE,f1
4,random_forest,16,0.49256497007823846,COMPLETE,f1
